,ทะเบียนโรงงาน ,ชื่อโรงงาน ,newCode,facType,ISIC,TSIC,desc,add,tel
16,3-4(1)-1/31 ,บริษัท ซีพีเอฟ (ประเทศไทย) จำกัด (มหาชน) ,10100000125316,4(1),1011,10111,ฆ่า และชำแหละไก่ ไก่สดแช่แข็ง,48 ม.9ถ.สุวินทวงศ์ ต.แสนแสบอ.มีนบุรี จ.กรุงเทพมหานคร   10510,02-9894074-60
17,น.53(5)-1/2536-ญนล. ,บริษัท แพนเอเซียอุตสาหกรรม จำกัด ,72030200125367,"53(1),53(5)",2223,22230,ผลิตแผ่นพลาสติกแผ่น,279 นิคมฯลาดกระบังถ.ฉลองกรุง ต.ลำปลาทิวอ.ลาดกระบัง จ.กรุงเทพมหานคร   10520,
18,ศ3-12(4)-1/33 ,บริษัท เฟิรสท์ คอนเฟคชั่นเนอรี่ จำกัด ,00100100125333,"10(2),12(4),12(8),12(9),12(10)",1073,10732,"ทำหมากฝรั่ง, ลูกกวาด, ถั่วลิสงเคลือบ, เยลลี่, ช๊อคโกแลต และขนมปังกรอบ และอาหารในภาชนะบรรจุปิดสนิท",72/1 ซ.บางกระดี่ 32 ต.แสมดำอ.บางขุนเทียน จ.กรุงเทพมหานคร   10150,02-4521542
19,3-53(1)-27/33 ,บริษัท โปลิโฟม อุตสาหกรรม จำกัด ,10100002725337,53(1),2221,22210,ทำผลิตภัณฑ์โฟม เช่น วัสดุกันสะเทือน,135/1 ม.4 ซ.อนามัยงามเจริญถ.พระรามที่ 2 ต.ท่าข้ามอ.บางขุนเทียน จ.กรุงเทพมหานคร   10150,02-4519349-53
20,3-38(2)-1/34กจ ,บริษัท ไทยเคนเปเปอร์ จำกัด (มหาชน) ,10710000125346,"38(2),39",1701,17012,ผลิตกระดาษคร๊าฟ ได้เดือนละ 3877.5 ตัน และกล่องกระดาษลูกฟูก,222 ม.1ถ.แสงชูโต ต.วังขนายอ.ท่าม่วง จ.กาญจนบุรี   71110,034-611955
21,3-38(2)-2/34กจ ,บริษัท สยามคราฟท์อุตสาหกรรม จำกัด ,10710000225344,"38(1),38(2),88(2),89",1701,17012,ผลิตกระดาษคราฟท์และเยื่อจากเศษกระดาษ กำลังการผลิต 164950 ตัน/ปี,99 ม.6ถ.แสงชูโต ต.วังศาลาอ.ท่าม่วง จ.กาญจนบุรี   71110,"5863333,5864444"
22,3-38(1)-2/35กจ ,บริษัท สยามคราฟท์อุตสาหกรรม จำกัด ,10710000225351,"38(1),38(2)",1629,16292,ผลิตกระดาษแข็งเคลือบขาว และกระดาษแข็งสำหรับแผ่นยิบซั่ม,99 ม.6ถ.แสงชูโต ต.วังศาลาอ.ท่าม่วง จ.กาญจนบุรี   71110,561191
23,3-16-1/48กจ ,บริษัท สุราพิเศษทิพราช จำกัด ,10710000125486,16,1101,11011,ผลิตและจำหน่วยสุรากลั่นชนิดสุราขาว,488 ม.1ถ.- ต.วังด้งอ.เมืองกาญจนบุรี จ.กาญจนบุรี   71190,
24,3-8(1)-8/48กจ ,บริษัท บ่อพลอยฟู้ด อินดัสทรี จำกัด ,10710000825481,8(1),1030,10302,ผัก ผลไม้ น้ำผลไม้บรรจุกระป๋อง และผลไม้อบแห้ง,44/2 ม.13ถ.- ต.หลุมรังอ.บ่อพลอย จ.กาญจนบุรี   71160,034-615300
25,3-17-1/49กจ ,บริษัท น้ำตาลไทยเอทานอล จำกัด ,10710100125493,17,2011,20114,"ผลิตเอทานอลเพื่อใช้เป็นเชื้อเพลิง ขนาดกำลังการผลิตไม่เกิน 200,000 ลิตรต่อวัน",1/104 ม.8ถ.แสงชูโต ต.ท่าไม้อ.ท่ามะกา จ.กาญจนบุรี   71120,
26,จ3-26(1)-1/37ขก ,บริษัท ขอนแก่นแหอวน จำกัด สาขา 1 (ศูนย์บวร) ,20400300125372,26(1),1394,13940,ผลิตเชือก ตาข่าย แห อวน ทุกชนิด,250 ม.8ถ.เหล่านาดี ต.เมืองเก่าอ.เมืองขอนแก่น จ.ขอนแก่น   40000,224998
27,3-26(1)-1/43ขก ,บริษัท ขอนแก่นแหอวน จำกัด ,10400000125435,"26(1),26(2),68",1394,13940,ผลิตเชือก อวน แห ตาข่าย และ,86 ม.8ถ.เหล่านาดี ต.เมืองเก่าอ.เมืองขอนแก่น จ.ขอนแก่น   40000,043-221880
28,3-26(1)-1/47ขก ,บริษัท ขอนแก่นแหอวน จำกัด ,10400000125476,"26(1),26(2)",1394,13940,"ผลิตเชือก, ตาข่าย, แห, อวน",94 ม.9ถ.มะลิวัลย์ ต.หนองเรืออ.หนองเรือ จ.ขอนแก่น   40210,
29,3-17-3/47ขก ,บริษัท ไทยเอทานอล พาวเวอร์ จำกัด (มหาชน) ,10400000325472,17,2011,20114,ผลิตเอทานอลเพื่อใช้เป็นเชื้อเพลิง,88 ม.6ถ.- ต.โนนศิลาอ.โนนศิลา จ.ขอนแก่น   40110,
30,3-38(2)-3/50ขก ,บริษัท ฟินิคซ พัลพ แอนด์ เพเพอร์ จำกัด (มหาชน) ,10400000325506,"38(2),88",1701,17012,กระดาษพิมพ์เขียนชนิดไม่เคลือบผิว ผลิตพลังงานไฟฟ้ากำลังการผลิต 31.2 เมกะวัตต์ ,99 ม.3ถ.- ต.กุดน้ำใสอ.น้ำพอง จ.ขอนแก่น   40310,
31,ศ3-11(6)-1/39จบ ,บริษัท โรงแป้งสหสินวัฒนา จำกัด ,00220000125397,11(6),1072,10722,ผลิตกลูโคส เดกซ์โทรส,129 ม.8ถ.จันทบุรี-สระแก้ว ต.ทับไทรอ.โป่งน้ำร้อน จ.จันทบุรี   22140,039-321098
32,น.39-1/2536-ญวก. ,บริษัท ยูเนียนคาร์ตอน อินดัสทรีย์ จำกัด ,72090000125363,39,1702,17020,แผ่นกระดาษลูกฟูกและกล่องกระดาษลูกฟูก,86 ม.5 ต.บางสมัครอ.บางปะกง จ.ฉะเชิงเทรา   24180,0 3857 0163-8
33,3-8(1)-3/15ชบ ,บริษัท อาหารสยาม จำกัด (มหาชน) ,10200000325153,8(1),1030,10302,ผลิตอาหารกระป๋อง ผลไม้กระป๋อง น้ำผลไม้ และน้ำส้มสายชู เพิ่มผลิตผักกระป๋อง น้ำผลไม้เข้มข้น,218 ม.8ถ.ซุปเปอร์ไฮเวย์สัตหีบ-ฉะเชิงเทรา ต.หนองอิรุณอ.บ้านบึง จ.ชลบุรี   20220,2352178
34,ศ3-9(2)-1/37ชบ ,บริษัท ไทยโทโยกลูโคส จำกัด ,00200000125373,"9(2),12(7)",1061,10612,ผลิตแป้งข้าวจ้าว และแป้งปรุงแต่ง ผลิตผลไม้แช่อิ่มอบแห้ง,527 ม.7ถ.สาย 331 ต.หนองอิรุณอ.บ้านบึง จ.ชลบุรี   20220,038 291578-9
35,3-51-1/40ชบ ,บริษัท เอ็น.ดี.รับเบอร์ จำกัด (มหาชน) ,10200600125409,51,2211,22112,ผลิตยางใน-ยางนอกรถจักรยานยนต์,129 ม.3ถ.หนองชาก-พนัสนิคม ต.หนองอิรุณอ.บ้านบึง จ.ชลบุรี   20220,0388-160707
36,3-72-1/44ชบ ,บริษัท ไทยเซชิน อี.เอ็น.เอฟ. จำกัด ,10200700125440,72,2640,26402,ผลิตชิ้นส่วนอุปกรณ์เครื่องใช้ไฟฟ้า อิเล็คทรอนิคส์ และทำโฟมเพื่อเป็นฉนวนสำหรับตู้เย็นและภาชนะรองรับ,399 ม.2ถ.สายหุบบอน ต.เขาคันทรงอ.ศรีราชา จ.ชลบุรี   20110,038-411116
37,3-58(1)-98/48ชบ ,บริษัท สมาร์ทคอนกรีต จำกัด (มหาชน) ,10200009825484,58(1),2395,23953,ผลิตคอนกรีตมวลเบา,11 ม.9ถ.บ้านบึง-แกลง ต.หนองอิรุณอ.บ้านบึง จ.ชลบุรี   20220,038-442500
38,3-39-27/50ชบ ,บริษัท เอเอสเอ คอร์รูเกท คอนเทนเนอร์ จำกัด ,10200002725509,39,1702,17020,ผลิตกล่องกระดาษและแผ่นกระดาษลูกฟูก,888/9 ม.1ถ.บ้านบึง-บ้านค่าย  ต.คลองกิ่วอ.บ้านบึง จ.ชลบุรี   20220,038-158844
39,3-9(6)-39/50ชบ ,บริษัท ทองทาปีโอก้า (1999) จำกัด ,10200003925504,9(6),1062,10621,ทำมันเม็ดอัดแข็ง,1/1 ม.5 ซ.1ถ.บ้านเขาทุ่งนา ต.หนองซ้ำซากอ.บ้านบึง จ.ชลบุรี   20170,038-446180
40,3-53(6)-3/57ชบ ,บริษัท ซัมอิล โฟม (ไทยแลนด์) จำกัด ,10200000325575,53(6),2229,22299,ผลิตและจำหน่ายโฟมบรรจุภัณฑ์,41/11 ม.8 ต.บึงอ.ศรีราชา จ.ชลบุรี   20230,038-190830-1
41,3-48(4)-1/49ชน ,บริษัท โนเบล เอ็นซี จำกัด ,10180000125490,48(4),2029,20291,ผลิตไนโตรเซลลูโลสสำหรับอุตสาหกรรม,232 ม.1 ต.โพนางดำออกอ.สรรพยา จ.ชัยนาท   17150,
42,3-60-1/27ตก ,บริษัท ผาแดงอินดัสตรี จำกัด (มหาชน) ,10630100125279,60,2410,24101,ถลุงแร่สังกะสี,94 ม.1ถ.พหลโยธิน กม.409-410 ต.หนองบัวใต้อ.เมืองตาก จ.ตาก   63000,
43,3-10(3)-1/16นฐ ,บริษัท โรงงานผลิตภัณฑ์อาหารไทย จำกัด ,10730000125161,10(3),1074,10743,ทำบะหมี่กึ่งสำเร็จรูป เส้นหมี่กึ่งสำเร็จรูป เกี๊ยวสำเร็จรูป โจ๊กกึ่งสำเร็จรูป อาหารกึ่งสำเร็จรูป วัตถุปรุงแต่งรสและเครื่องปรุงรส อาหารพร้อมปรุง และอาหารสำเร็จรูปที่พร้อมบริโภคทันที,42/1 ม.2ถ.เพชรเกษม ต.อ้อมใหญ่อ.สามพราน จ.นครปฐม   73160,4201072
44,3-8(1)-4/18นฐ ,บริษัท ไอ.เอส.เอ. แวลู จำกัด ,10730000425181,"7(1),8(1)",1030,10302,ทำผัก ผลไม้และปลากระป๋อง ผลิตอาหารสำเร็จรูปสำหรับเลี้ยงสัตว์ เช่น ปลากระป๋องสำหรับเลี้ยงแมว,44/4 ม.1ถ.เพชรเกษม ต.ยายชาอ.สามพราน จ.นครปฐม   73110,034-323992
45,3-22(2)-2/13นฐ ,บริษัท โทเร เท็กซ์ไทล์ (ประเทศไทย) จำกัด (มหาชน) ,10730000225136,22(2),1311,13111,ปั่นด้าย ทอผ้า ถักผ้า ย้อมผ้า แต่งสำเร็จและพิมพ์ผ้า,33/3 ม.3ถ.สุขาภิบาลนครชัยศรี ต.นครชัยศรีอ.นครชัยศรี จ.นครปฐม   73120,331788
46,3-24-1/15นฐ ,บริษัท แค็ปปิตอล ทรีคอท จำกัด ,10730100125152,24,1399,13999,ถักผ้าและย้อมผ้า (โดยมีเครื่องถักผ้า 200 เครื่อง),23/8 ม.2ถ.เพชรเกษม ต.อ้อมใหญ่อ.สามพราน จ.นครปฐม   73160,4201216
47,3-17-1/29นฐ ,บริษัท ไทยแอลกอฮอล์ จำกัด (มหาชน) ,10730300125291,17,2011,20114,ผลิตเอธิลแอลกอฮอล์ ได้วันละ 400000 ลิตร,2 ม.5ถ.บางเลน-บางหลวง ต.บางไทรป่าอ.บางเลน จ.นครปฐม   73130,034-391022-24
48,3-10(3)-2/28นฐ ,บริษัท ไทยวา จำกัด (มหาชน) ,10730000225284,10(3),1074,10743,ทำวุ้นเส้น แป้งสลิ่ม ก๋วยเตี๋ยว เซี่ยงไฮ้,2 ม.1ถ.บางเลน-ดอนตูม ต.บางเลนอ.บางเลน จ.นครปฐม   73130,034-391011
49,3-51-1/37นฐ ,บริษัท ยางโอตานิ จำกัด ,10730500125372,51,2211,22112,"ผลิตยางรถยนต์ (กำลังการผลิต 115,200 เส้นต่อปี)",55 ม.7ถ.เพชรเกษม ต.คลองใหม่อ.สามพราน จ.นครปฐม   73110,034-223333
50,3-22(3)-10/35นฐ ,บริษัท ประเสริฐสมบูรณ์เท็กไทล์ จำกัด ,10730001025352,22(3),1313,13131,ฟอกย้อมผ้า,65/4 ม.8 ซ.สุขาภิบาลถ.เพชรเกษม ต.อ้อมใหญ่อ.สามพราน จ.นครปฐม   73160,
51,ศ3-10(3)-1/36นฐ ,บริษัท โรงงานผลิตภัณฑ์อาหารไทย จำกัด ,00730200125369,10(3),1074,10743,"ทำเส้นหมี่อบแห้ง เดือนละ 1,166 ตัน และเส้นก๋วยเตี๋ยว เดือนละ 800 ตัน",3 ม.14 ซ.เขื่อนถ.เพชรเกษม ต.ไร่ขิงอ.สามพราน จ.นครปฐม   73210,
52,3-22(3)-9/35นฐ ,บริษัท พี.พี.เท็กซ์ไทล์ พิมพ์ย้อม จำกัด ,10730000925354,22(3),1313,13131,"ฟอกย้อมผ้า และพิมพ์ผ้า ได้ 4,800,000 หลาต่อปี",65/1 ม.8 ซ.สุขาภิบาลถ.เพชรเกษม ต.อ้อมใหญ่อ.สามพราน จ.นครปฐม   73160,
53,ศ3-8(1)-4/36นฐ ,บริษัท ฟู้ดสตาร์ จำกัด ,00730000425365,8(1),1030,10302,"ผลิตเครื่องดื่มจากผัก ผลไม้ และน้ำดื่ม ได้เดือนละ 400,000 ลิตร",58 ม.6ถ.พระประโทน-บ้านแพ้ว ต.ตลาดจินดาอ.สามพราน จ.นครปฐม   73110,
54,3-38(2)-1/40นฐ ,บริษัท กฤษณะมงคล จำกัด ,10730500125406,38(2),1701,17012,ผลิตกระดาษสีน้ำตาล,2/1 ม.8ถ.คงทอง ต.วังน้ำเขียวอ.กำแพงแสน จ.นครปฐม   73140,
55,3-9(2)-1/42นฐ ,บริษัท ซิโนไทย สตาร์ช จำกัด ,10730000125427,9(2),1061,10612,ผลิตแป้งข้าวจ้าว แป้งข้าวเหนียว แป้งมันสำปะหลัง แป้งแปรรูปและแป้งดัดแปร,1/4 ม.1ถ.ทัพหลวง ต.ทัพหลวงอ.เมืองนครปฐม จ.นครปฐม   73000,
56,3-8(1)-1/43นฐ ,บริษัท วราฟู้ดแอนด์ดริ๊ง จำกัด ,10730100125434,8(1),1030,10302,ทำผักและผลไม้บรรจุกระป๋อง ทำน้ำผลไม้กระป๋องและเครื่องดื่มจากผัก พืชหรือผลไม้ต่าง ๆ,127 ม.3ถ.นครปฐม-ดอนตูม ต.ห้วยพระอ.ดอนตูม จ.นครปฐม   73150,238382-3
57,3-22(3)-1/43นฐ ,บริษัท ที.ยู.ดับบลิว.เท็กซ์ไทล์ จำกัด ,0125431 [3-22(,"22(3),22(4),28(1)",1313,13131,ฟอกย้อมและตัดเย็บเสื้อผ้า,113 ม.4 ซ.0ถ.นครชัยศรี-ดอนตูม ต.สัมปทวนอ.นครชัยศรี จ.นครปฐม   73120,
58,3-10(3)-3/43นฐ ,บริษัท แฟชั่นฟู้ด จำกัด ,10730000325431,10(3),1074,10743,ผลิตอาหารประเภทข้าวเกรียบจากแป้งสาลี แป้งมันสำปะหลัง แป้งข้าวโพด บะหมี่กึ่ง สำเร็จรูป ขนมปังอบกรอบและเครื่องปรุงรส,105/5 ม.6ถ.เพชรเกษม ต.คลองใหม่อ.สามพราน จ.นครปฐม   73110,(034) 324473-6
59,3-22(3)-1/45นฐ ,บริษัท รุ่งสินเจริญ จำกัด ,10730500125455,22(3),1313,13131,ฟอกย้อมด้ายและผ้าทุกชนิด,99 ม.11 ต.บ้านยางอ.เมืองนครปฐม จ.นครปฐม   73000,
60,3-98-3/47นฐ ,บุญถาวรซักอบรีด ,10730000325472,98,2826,28269,ซัก อบ รีด เสื้อผ้าทุกชนิด,91 ม.3ถ.พระประโทน-บ้านแพ้ว ต.ถนนขาดอ.เมืองนครปฐม จ.นครปฐม   73000,
61,3-10(3)-2/45นฐ ,บริษัท เอฟ-พลัส จำกัด ,10730100225457,"10(3),13(2),13(8)",1074,10743,ผลิตภัณฑ์จากแป้งข้าวจ้าว-ข้าวสาลี อาหารกึ่งสำเร็จรูป ผงเครื่องปรุงอาหาร เครื่องแกง-น้ำพริกและน้ำมะนาวปรุงแต่ง,58/3 ม.6ถ.พระประโทน-บ้านแพ้ว ต.ตลาดจินดาอ.สามพราน จ.นครปฐม   73110,
62,3-51-2/50นฐ ,บริษัท สวซิ ซ์-วัน คอร์ปอเรชั่น จำกัด ,10730100225507,51,2211,22112,ผลิตยางรถยนต์,4/1-2 ม.7ถ.ดอนตูม-บางเลน ต.บางปลาอ.บางเลน จ.นครปฐม   73130,034-301681
63,3-8(1)-2/43นฐ ,บริษัท ฟู้ดสตาร์ จำกัด ,10730000225433,"8(1),20(1)",1030,10302,ผลิตเครื่องดื่มที่ทำจากผลไม้ชนิดต่าง ๆ น้ำดื่ม น้ำผัก น้ำผลไม้ ผลิตชา เครื่องดื่มเกลือแร่ น้ำนมถั่วเหลือง ผลิตภัณฑ์ประเภทเยลลี่ ผลิตภัณฑ์ประเภทวุ้นคาราจีแนนสำเร็จรูป,58 ม.6ถ.พระประโทน-บ้านแพ้ว ต.ตลาดจินดาอ.สามพราน จ.นครปฐม   73110,(034)397033-4
64,3-24-4/33นฐ ,บริษัท ไทยอิสเทอน อินดัสทรี้ จำกัด ,10730100425339,24,1399,13999,ถักผ้ายืด (จำนวนเครื่องถักผ้า 24 เครื่อง) และตัดเย็บเสื้อ,42/220 ม.5 ซ.หมู่บ้านศรีเสถียรถ.เพชรเกษม กม.29 ต.ไร่ขิงอ.สามพราน จ.นครปฐม   73210,4202055
65,3-51-4/51นฐ ,บริษัท โอตานิ เรเดียล จำกัด ,10730100425511,51,2211,22112,ผลิตยางรถยนต์,96 ม.3ถ.ริมคลองบ้านไร่ ต.บางแก้วอ.นครชัยศรี จ.นครปฐม   73120,034 339 563
66,3-15(1)-4/51นพ ,บริษัท โกรเบสท์คอร์โพเรชั่น จำกัด ,-,-,-,-,-,-,-
67,ศ3-15(2)-1/38นม ,บริษัท แหลมทองโพลทริ จำกัด ,00300000125389,15(2),1029,10294,ป่นขนไก่ เพื่อผสมเป็นอาหารสัตว์,1/10 ม.8ถ.มิตรภาพ ต.สูงเนินอ.สูงเนิน จ.นครราชสีมา   30170,(044) 419646-8
68,3-53(6)-1/44นม ,บริษัท ไทยโฟม โคราช จำกัด ,10300200125443,"53(4),53(6)",2229,22299,ทำภาชนะบรรจุจากโฟม,49 ม.8ถ.ราชสีมา-โชคชัย ต.ท่าอ่างอ.โชคชัย จ.นครราชสีมา   30190,
69,3-53(6)-1/48นม ,บริษัท ไทยโฟมโคราช จำกัด ,10300100125485,"53(4),53(6)",2229,22299,โฟมบรรจุภัณฑ์,49/1 ม.8ถ.นครราชสีมา-โชคชัย ต.ท่าอ่างอ.โชคชัย จ.นครราชสีมา   30190,044-375369-70
70,3-38(1)-1/46นว ,บริษัท เอ็นไวรอนเม็นท์พัลพ์ แอนด์ เปเปอร์ จำกัด ,10600200125461,38(1),1629,16292,ผลิตเยื่อกระดาษฟอกขาวจากชานอ้อย,9/9 ม.1 ต.หนองโพอ.ตาคลี จ.นครสวรรค์   60140,056-338338
71,3-17-1/50นว ,บริษัท เคทิส ไบโอเอทานอล จำกัด ,10600000125505,17,2011,20114,"ผลิตเอทานอล เพื่อใช้เป็นเชื้อเพลิง ขนาดกำลังการผลิตไม่เกินวันละ 230,000 ลิตร",9 ม.14ถ.- ต.หนองโพอ.ตาคลี จ.นครสวรรค์   60140,
72,3-22(2)-1/25นบ ,บริษัท ยูไนเต็ดแฟบริค จำกัด ,10120000125256,"22(2),22(3),87(4)",1311,13111,ทอสายยางยืด สายเทป ทำกระดุมและฟอกย้อม (จำนวนเครื่องทอ 94 เครื่อง เครื่องถัก 5 เครื่อง),"32/2, 32/3 ม.4ถ.บางกรวย-ไทรน้อย ต.บางบัวทองอ.บางบัวทอง จ.นนทบุรี   11110",
73,3-22(2)-2/35นบ ,บริษัท อุตสาหกรรมแมนดารินสปินนิ่ง จำกัด ,10120000225353,22(2),1311,13111,ปั่นด้ายจากใยเทียม และใยธรรมชาติ ทอผ้า ฟอกย้อม,17/2 ม.2 ซ.วัดโพธิ์ทองบนถ.ติวานนท์ ต.บ้านใหม่อ.ปากเกร็ด จ.นนทบุรี   11120,5838116
74,3-9(1)-18/22บร ,ห้างหุ้นส่วนจำกัด โรงสีไฟศิริเอี่ยมแสง ,10310001825224,9(1),1061,10611,สีข้าวชนิดแยกแกลบแยกรำ (กำลังสีสูงสุดของร้านสีข้าว 25 เกว,67 ม.7 ซ.บ้านพัฒนา ต.ลำปลายมาศอ.ลำปลายมาศ จ.บุรีรัมย์   31130,
75,3-22(2)-2/14ปท ,บริษัท อุตสาหกรรมสยามซินเธทิค เท็กซ์ไทล์ จำกัด ,10130000225147,22(2),1311,13111,ทอผ้า ฟอกผ้า ย้อมสีและพิมพ์ลวดลายผ้า จำนวนเครื่องทอ 414 เครื่อง,69 ม.4 ซ.รังสิต-นครนายก 15ถ.รังสิต-นครนายก ต.ประชาธิปัตย์อ.ธัญบุรี จ.ปทุมธานี   12130,5313460
76,3-7(4)-1/22ปท ,บริษัท น้ำมันพืชปทุม จำกัด ,10130000125222,"7(4),7(5),42(1)",1049,10491,ทำน้ำมันพืชบริสุทธิ์ เนยเทียม ไบโอดีเซล กลีเซอรีนบริสุทธิ์ การผลิตพลังงานไฟฟ้าจากพลังงานความร้อนขนาด 600 กิโลวัตต์ เพื่อใช้ในกิจการของตนเอง,29/3 ม.6ถ.ปทุมธานี-ลาดหลุมแก้ว ต.คูบางหลวงอ.ลาดหลุมแก้ว จ.ปทุมธานี   12140,02-5812348
77,3-98-1/31ปท ,บริษัท ไอเดีย กรุ๊ฟ วอชชิ่ง จำกัด ,10131000125311,98,2826,28269,ซัก ฟอก รีดเสื้อผ้าสำเร็จรูปและผ้าต่าง ๆ,41 ม.3ถ.ติวานนท์ ต.บ้านใหม่อ.เมืองปทุมธานี จ.ปทุมธานี   12000,5837349
78,3-22(3)-1/32ปท ,บริษัท วาย.เอ็ม.พี.พิมพ์ย้อม จำกัด ,10130100125320,22(3),1313,13131,พิมพ์และฟอกย้อมผ้า,101/47/10 ม.20 ซ.นวนคร 12ถ.พหลโยธิน ต.คลองหนึ่งอ.คลองหลวง จ.ปทุมธานี   12120,5292703
79,3-53(4)-2/33ปท ,บริษัท โปลิโฟม ไฮเท็คส์ จำกัด ,10130100225336,53(4),2222,22220,ทำผลิตภัณฑ์โฟม,60/94 นิคมอุตสาหกรรมนวนคร โครงการที่ 3 ม.19ถ.พหลโยธิน ต.คลองหนึ่งอ.คลองหลวง จ.ปทุมธานี   12120,02-5292501
